GeneID,Name,k1’,k2,k2’,kdeg,Transport
ENSMUSG00000002699.13,Lcp2,-0.511175642144373,-0.588802021198939,-1.71659564639233,-1.92131109601291,-1.63896926733777
ENSMUSG00000034394.14,Lif,5.88688460345981,5.61013248247332,-1.30169349663242,-0.999794972105176,-1.02494137564593
ENSMUSG00000042622.13,Maff,-0.586539204192154,-0.892948527372221,-1.16714519626921,-1.63972262515797,-0.860735873089143
ENSMUSG00000032688.7,Malt1,0.469978315379182,0.330973149199045,-2.43966697242113,-2.20949055271756,-2.30066180624099
ENSMUSG00000018932.9,Map2k3,-0.492702487870904,-0.659960358846825,-1.7219417162873,-2.10659638123109,-1.55468384531137
ENSMUSG00000028862.6,Map3k6,0.780943822812187,0.883429067245177,-2.43243731114895,-2.34015689171098,-2.53492255558194
ENSMUSG00000016528.10,Mapkapk2,-0.16883176123296,-0.333847495521559,-1.78038389083583,-2.3998868305163,-1.61536815654723
ENSMUSG00000047945.6,Marcksl1,0.393920496602066,-0.142156791723305,-1.22832010627675,-2.17913742696307,-0.692242817951383
ENSMUSG00000030291.12,Med21,-0.234806842170957,-0.454743658955415,-1.71314628075302,-2.34808037327056,-1.49320946396856
ENSMUSG00000050578.10,Mmp13,0.06555878058395,-0.282611433889454,-1.78801168532313,-2.39042953437116,-1.43984147084973
ENSMUSG00000000957.9,Mmp14,-0.964527638407968,-1.65761717937574,-1.6988765230689,-1.92153639477646,-1.00578698210113
ENSMUSG00000057440.7,Mpp7,7.94863699899315,7.62458538288343,-1.83485450056501,-2.12291162927409,-1.51080288445529
ENSMUSG00000039458.14,Mtmr12,0.593637378237714,0.452738005523994,-1.91277419699784,-2.15990126631646,-1.77187482428412
ENSMUSG00000001156.9,Mxd1,-0.365775785521608,-0.653236789796667,-1.32247088964545,-1.66776018218644,-1.03500988537039
ENSMUSG00000022346.15,Myc,0.202884646122805,0.020798935143185,-0.753659850013174,-0.978189420848586,-0.571574139033554
ENSMUSG00000005125.12,Ndrg1,-0.293580823794588,-0.737781985799374,-1.68605791031331,-2.40162090686845,-1.24185674830852
ENSMUSG00000056749.7,Nfil3,-0.214355818536788,-0.437902232068132,-0.818568453283924,-1.30642064703765,-0.59502203975258
ENSMUSG00000025225.14,Nfkb2,-0.173655362695504,-0.118376191556356,-2.0778300713579,-2.38748051829426,-2.13310924249705
ENSMUSG00000021025.8,Nfkbia,-0.20328638764923,-0.33451643436768,-0.847544851591722,-0.997576450513318,-0.716314804873271
ENSMUSG00000030595.15,Nfkbib,-0.143936423073692,-0.27840213928601,-1.63063356010081,-2.15895269888856,-1.49616784388849
ENSMUSG00000036931.15,Nfkbid,-0.038545917796705,-0.148430835678186,-1.458705664252,-1.07951799856913,-1.34882074637052
ENSMUSG00000023947.7,Nfkbie,-0.406830533979317,-0.428151449308628,-1.89767016873652,-2.13130863141055,-1.87634925340721
ENSMUSG00000023087.15,Noct,3.44312180358659,3.28195608181044,-2.29867555607964,-2.08581598019527,-2.13750983430349
ENSMUSG00000023034.6,Nr4a1,-0.593676696353952,-0.913855370968327,-0.911234944705832,-1.12694478417866,-0.591056270091458
ENSMUSG00000011179.8,Odc1,-0.447837642997393,-0.558175839527298,-1.6178913551146,-2.49299293250547,-1.50755315858469
ENSMUSG00000030162.14,Olr1,0.009809071095566,-0.365880287633671,-1.84141428931064,-2.16785534231555,-1.4657249305814
ENSMUSG00000039747.11,Orai2,8.16977822064521,8.07918411112873,-2.12124691496638,-2.52206213746785,-2.0306528054499
ENSMUSG00000028525.16,Pde4b,0.116459624701938,-0.106659377642109,-1.00531335169918,-1.26090529377582,-0.78219434935513
ENSMUSG00000028583.14,Pdpn,-0.525080784135572,-0.576125594726607,-1.43746575803687,-2.3700903462216,-1.38642094744583
ENSMUSG00000020205.8,Phlda1,0.237122332839255,-0.281769556071579,-0.774099642109161,-1.05922312051042,-0.255207753198327
